index,daya_baterai,bluetooth,kecepatan_clock,dual_sim,kamera_depan,four_g,memori_internal,tebal_hp,berat_hp,jumlah_prosesor,kamera_belakang_mp,px_panjang,px_lebar,kapasitas_ram,panjang_layar,lebar_layar,waktu_telfon,three_g,touch_screen,wifi,price_range
1045,531,0,1.1,0,10,Tidak,63,0.7,189,7,14,145,1903,2958,17.0,1,19,0,1,0,2000k-3000k
937,764,1,1.2,1,1,Tidak,13,1.0,152,8,2,361,511,3148,18.0,7,6,1,1,0,2000k-3000k
1658,1812,1,1.3,1,4,Ya,42,1.0,162,7,15,380,1550,3338,18.0,13,11,1,1,1,>3000k
529,1821,0,0.9,0,9,Ya,12,0.3,114,1,18,97,1803,2430,7.0,4,6,1,1,1,2000k-3000k
895,1790,1,2.3,1,3,Ya,49,0.5,100,3,11,396,1980,3568,6.0,2,18,1,0,1,>3000k
1191,921,1,2.2,1,12,Ya,10,0.1,170,7,18,1272,1469,3153,8.0,2,11,1,1,0,>3000k
1128,1671,0,0.5,1,13,Tidak,5,0.9,179,8,18,398,1263,815,16.0,6,10,1,1,1,0-<1000k
953,852,1,1.6,1,6,Ya,54,0.4,147,5,7,538,730,1275,13.0,7,12,1,0,1,0-<1000k
596,1175,0,0.6,0,10,Tidak,25,0.1,145,2,12,137,1501,3153,9.0,4,12,1,0,0,2000k-3000k
302,768,1,0.9,0,16,Ya,56,0.1,113,1,20,418,515,952,19.0,3,16,1,0,1,0-<1000k
676,1027,0,0.5,0,2,Ya,64,0.9,103,2,7,1698,1747,3786,17.0,12,12,1,0,0,>3000k
1052,547,0,1.9,1,1,Tidak,37,0.4,154,5,4,371,541,2705,17.0,3,10,1,1,0,1000k-<2000k
171,1854,0,3.0,0,2,Ya,8,0.1,101,5,5,506,627,1886,17.0,4,20,1,1,0,1000k-<2000k
412,1478,1,0.8,1,12,Tidak,48,0.7,99,5,17,694,882,1141,5.0,2,6,0,0,1,1000k-<2000k
1800,1358,0,1.7,0,0,Tidak,60,0.6,147,3,1,889,1635,440,14.0,10,13,1,0,0,0-<1000k
518,1606,0,1.4,0,3,Tidak,57,0.1,154,4,4,1127,1924,3454,13.0,8,20,0,0,1,>3000k
884,841,1,0.5,1,8,Tidak,39,0.1,199,6,13,546,828,2942,11.0,5,16,0,1,1,2000k-3000k
270,1066,0,0.6,0,2,Ya,7,0.9,114,7,18,1242,1571,468,19.0,13,6,1,1,0,0-<1000k
948,1631,0,0.5,0,2,Ya,13,0.5,166,2,16,960,1735,2173,,3,8,1,1,0,2000k-3000k
1292,1365,0,0.6,0,0,Ya,31,0.3,125,4,0,293,970,1300,14.0,7,13,1,0,1,0-<1000k
1973,816,0,3.0,1,2,Tidak,9,0.1,117,1,3,1196,1651,3851,10.0,3,14,1,0,1,>3000k
1916,1176,1,2.1,0,2,Ya,62,0.5,168,2,10,674,1455,1534,6.0,2,17,1,0,0,1000k-<2000k
1301,1874,1,0.6,0,1,Tidak,19,0.8,192,2,9,1238,1418,1218,15.0,10,17,0,1,0,1000k-<2000k
1063,1959,0,0.5,1,5,Tidak,18,0.7,191,6,20,65,1055,619,7.0,4,8,1,1,1,0-<1000k
1874,1083,1,2.9,1,1,Ya,39,1.0,173,8,2,523,542,3248,8.0,6,6,1,0,1,2000k-3000k
1804,1702,1,2.3,1,12,Ya,47,0.6,107,2,19,1284,1643,595,10.0,0,19,1,0,1,1000k-<2000k
1439,1006,0,2.2,1,4,Ya,22,0.8,135,4,8,35,991,909,18.0,4,7,1,0,1,0-<1000k
871,712,1,1.6,0,6,Ya,9,0.8,172,2,14,881,1234,3612,13.0,5,4,1,0,0,>3000k
1136,564,0,3.0,1,1,Tidak,8,0.7,130,2,3,853,1737,2227,9.0,2,14,1,0,1,1000k-<2000k
1845,1546,1,0.5,1,3,Ya,6,0.2,101,1,4,91,1317,3521,15.0,11,9,1,0,0,>3000k
378,1058,0,,0,2,Tidak,19,0.4,166,4,14,493,1247,418,9.0,7,16,0,0,1,0-<1000k
602,1719,1,2.0,0,0,Tidak,12,0.3,122,8,7,240,904,462,6.0,3,5,0,0,0,0-<1000k
1538,1070,1,3.0,0,9,Tidak,19,0.8,160,7,16,90,1614,2647,14.0,13,20,0,1,0,2000k-3000k
154,1547,0,2.9,1,6,Tidak,45,0.7,166,2,8,583,590,505,,2,3,0,1,1,0-<1000k
192,1490,1,0.5,1,4,Ya,64,0.3,150,8,8,1417,1464,3600,17.0,9,7,1,1,1,>3000k
